name qid measure value
" +GAT" 1037798 AP(rel=2) 0.23314469043300304
" +GAT" 1037798 RR(rel=2) 1.0
" +GAT" 1037798 P(rel=2)@3 0.3333333333333333
" +GAT" 1037798 R(rel=2)@1000 1.0
" +GAT" 1037798 nDCG@10 0.38458190556229876
" +GAT" 104861 AP(rel=2) 0.6658937417956312
" +GAT" 104861 RR(rel=2) 1.0
" +GAT" 104861 P(rel=2)@3 0.6666666666666666
" +GAT" 104861 R(rel=2)@1000 0.8558558558558559
" +GAT" 104861 nDCG@10 0.8611375561264454
" +GAT" 1063750 AP(rel=2) 0.01639344262295082
" +GAT" 1063750 RR(rel=2) 1.0
" +GAT" 1063750 P(rel=2)@3 1.0
" +GAT" 1063750 R(rel=2)@1000 0.01639344262295082
" +GAT" 1063750 nDCG@10 0.3799109563336586
" +GAT" 1103812 AP(rel=2) 0.42088196021452345
" +GAT" 1103812 RR(rel=2) 1.0
" +GAT" 1103812 P(rel=2)@3 0.6666666666666666
" +GAT" 1103812 R(rel=2)@1000 0.9090909090909091
" +GAT" 1103812 nDCG@10 0.6779729054851454
" +GAT" 1106007 AP(rel=2) 0.3201492888268261
" +GAT" 1106007 RR(rel=2) 1.0
" +GAT" 1106007 P(rel=2)@3 1.0
" +GAT" 1106007 R(rel=2)@1000 0.5609756097560976
" +GAT" 1106007 nDCG@10 0.6816965723763613
" +GAT" 1110199 AP(rel=2) 0.11679022366522365
" +GAT" 1110199 RR(rel=2) 0.5
" +GAT" 1110199 P(rel=2)@3 0.6666666666666666
" +GAT" 1110199 R(rel=2)@1000 0.2857142857142857
" +GAT" 1110199 nDCG@10 0.46115960248332344
" +GAT" 1112341 AP(rel=2) 0.21118941053753482
" +GAT" 1112341 RR(rel=2) 1.0
" +GAT" 1112341 P(rel=2)@3 1.0
" +GAT" 1112341 R(rel=2)@1000 0.5714285714285714
" +GAT" 1112341 nDCG@10 0.7917267193679839
" +GAT" 1113437 AP(rel=2) 0.22460606366715966
" +GAT" 1113437 RR(rel=2) 1.0
" +GAT" 1113437 P(rel=2)@3 0.6666666666666666
" +GAT" 1113437 R(rel=2)@1000 0.88
" +GAT" 1113437 nDCG@10 0.4324536095350321
" +GAT" 1114646 AP(rel=2) 0.43438345121697525
" +GAT" 1114646 RR(rel=2) 1.0
" +GAT" 1114646 P(rel=2)@3 1.0
" +GAT" 1114646 R(rel=2)@1000 0.6666666666666666
" +GAT" 1114646 nDCG@10 0.7951918985317078
" +GAT" 1114819 AP(rel=2) 0.6058221269626848
" +GAT" 1114819 RR(rel=2) 1.0
" +GAT" 1114819 P(rel=2)@3 1.0
" +GAT" 1114819 R(rel=2)@1000 0.8967136150234741
" +GAT" 1114819 nDCG@10 0.7448021699744332
" +GAT" 1115776 AP(rel=2) 0.6875
" +GAT" 1115776 RR(rel=2) 1.0
" +GAT" 1115776 P(rel=2)@3 0.6666666666666666
" +GAT" 1115776 R(rel=2)@1000 0.75
" +GAT" 1115776 nDCG@10 0.8855323855985222
" +GAT" 1117099 AP(rel=2) 0.3470758197037203
" +GAT" 1117099 RR(rel=2) 1.0
" +GAT" 1117099 P(rel=2)@3 1.0
" +GAT" 1117099 R(rel=2)@1000 0.4819277108433735
" +GAT" 1117099 nDCG@10 1.0
" +GAT" 1121402 AP(rel=2) 0.7695868462699053
" +GAT" 1121402 RR(rel=2) 1.0
" +GAT" 1121402 P(rel=2)@3 1.0
" +GAT" 1121402 R(rel=2)@1000 0.9565217391304348
" +GAT" 1121402 nDCG@10 1.0
" +GAT" 1121709 AP(rel=2) 0.0
" +GAT" 1121709 RR(rel=2) 0.0
" +GAT" 1121709 P(rel=2)@3 0.0
" +GAT" 1121709 R(rel=2)@1000 0.0
" +GAT" 1121709 nDCG@10 0.0
" +GAT" 1124210 AP(rel=2) 0.8232453666865219
" +GAT" 1124210 RR(rel=2) 1.0
" +GAT" 1124210 P(rel=2)@3 1.0
" +GAT" 1124210 R(rel=2)@1000 0.9333333333333333
" +GAT" 1124210 nDCG@10 0.785271169817317
" +GAT" 1129237 AP(rel=2) 0.6078508174073645
" +GAT" 1129237 RR(rel=2) 1.0
" +GAT" 1129237 P(rel=2)@3 0.6666666666666666
" +GAT" 1129237 R(rel=2)@1000 0.9411764705882353
" +GAT" 1129237 nDCG@10 0.7381856654135611
" +GAT" 1133167 AP(rel=2) 0.6873480292042277
" +GAT" 1133167 RR(rel=2) 1.0
" +GAT" 1133167 P(rel=2)@3 1.0
" +GAT" 1133167 R(rel=2)@1000 0.726027397260274
" +GAT" 1133167 nDCG@10 0.7810061639020378
" +GAT" 130510 AP(rel=2) 0.8090115014590769
" +GAT" 130510 RR(rel=2) 1.0
" +GAT" 130510 P(rel=2)@3 1.0
" +GAT" 130510 R(rel=2)@1000 1.0
" +GAT" 130510 nDCG@10 0.9299562250360317
" +GAT" 131843 AP(rel=2) 0.7778306059265813
" +GAT" 131843 RR(rel=2) 1.0
" +GAT" 131843 P(rel=2)@3 1.0
" +GAT" 131843 R(rel=2)@1000 0.8421052631578947
" +GAT" 131843 nDCG@10 1.0
" +GAT" 146187 AP(rel=2) 0.9415178571428571
" +GAT" 146187 RR(rel=2) 1.0
" +GAT" 146187 P(rel=2)@3 1.0
" +GAT" 146187 R(rel=2)@1000 1.0
" +GAT" 146187 nDCG@10 0.9402820957915536
" +GAT" 148538 AP(rel=2) 0.20480819332178568
" +GAT" 148538 RR(rel=2) 1.0
" +GAT" 148538 P(rel=2)@3 0.3333333333333333
" +GAT" 148538 R(rel=2)@1000 0.78125
" +GAT" 148538 nDCG@10 0.5740952165398304
" +GAT" 156493 AP(rel=2) 0.7392053841450962
" +GAT" 156493 RR(rel=2) 1.0
" +GAT" 156493 P(rel=2)@3 1.0
" +GAT" 156493 R(rel=2)@1000 0.9829059829059829
" +GAT" 156493 nDCG@10 0.9173863855392657
" +GAT" 168216 AP(rel=2) 0.8505736708805262
" +GAT" 168216 RR(rel=2) 1.0
" +GAT" 168216 P(rel=2)@3 1.0
" +GAT" 168216 R(rel=2)@1000 0.975
" +GAT" 168216 nDCG@10 0.9250795789348765
" +GAT" 182539 AP(rel=2) 0.33290164568371217
" +GAT" 182539 RR(rel=2) 1.0
" +GAT" 182539 P(rel=2)@3 0.6666666666666666
" +GAT" 182539 R(rel=2)@1000 1.0
" +GAT" 182539 nDCG@10 0.697345030871074
" +GAT" 183378 AP(rel=2) 0.47127604148551844
" +GAT" 183378 RR(rel=2) 1.0
" +GAT" 183378 P(rel=2)@3 1.0
" +GAT" 183378 R(rel=2)@1000 0.6914285714285714
" +GAT" 183378 nDCG@10 1.0
" +GAT" 19335 AP(rel=2) 0.3463258539993689
" +GAT" 19335 RR(rel=2) 1.0
" +GAT" 19335 P(rel=2)@3 0.6666666666666666
" +GAT" 19335 R(rel=2)@1000 1.0
" +GAT" 19335 nDCG@10 0.5424928135515639
" +GAT" 207786 AP(rel=2) 0.35319381076181816
" +GAT" 207786 RR(rel=2) 0.5
" +GAT" 207786 P(rel=2)@3 0.6666666666666666
" +GAT" 207786 R(rel=2)@1000 0.7272727272727273
" +GAT" 207786 nDCG@10 0.5961496751480676
" +GAT" 264014 AP(rel=2) 0.4746805860081017
" +GAT" 264014 RR(rel=2) 1.0
" +GAT" 264014 P(rel=2)@3 1.0
" +GAT" 264014 R(rel=2)@1000 0.5723684210526315
" +GAT" 264014 nDCG@10 0.8799813810372108
" +GAT" 359349 AP(rel=2) 0.8795496617744178
" +GAT" 359349 RR(rel=2) 1.0
" +GAT" 359349 P(rel=2)@3 1.0
" +GAT" 359349 R(rel=2)@1000 1.0
" +GAT" 359349 nDCG@10 0.7959167952392777
" +GAT" 405717 AP(rel=2) 0.23368502065310576
" +GAT" 405717 RR(rel=2) 0.16666666666666666
" +GAT" 405717 P(rel=2)@3 0.0
" +GAT" 405717 R(rel=2)@1000 1.0
" +GAT" 405717 nDCG@10 0.5321031776070316
" +GAT" 443396 AP(rel=2) 0.028821622724859077
" +GAT" 443396 RR(rel=2) 1.0
" +GAT" 443396 P(rel=2)@3 0.3333333333333333
" +GAT" 443396 R(rel=2)@1000 0.07936507936507936
" +GAT" 443396 nDCG@10 0.266379247589265
" +GAT" 451602 AP(rel=2) 0.17004330120087843
" +GAT" 451602 RR(rel=2) 1.0
" +GAT" 451602 P(rel=2)@3 0.6666666666666666
" +GAT" 451602 R(rel=2)@1000 0.42
" +GAT" 451602 nDCG@10 0.6078770307577632
" +GAT" 47923 AP(rel=2) 0.3265160553952523
" +GAT" 47923 RR(rel=2) 1.0
" +GAT" 47923 P(rel=2)@3 0.6666666666666666
" +GAT" 47923 R(rel=2)@1000 1.0
" +GAT" 47923 nDCG@10 0.6215939004224792
" +GAT" 489204 AP(rel=2) 0.05434189312312537
" +GAT" 489204 RR(rel=2) 0.16666666666666666
" +GAT" 489204 P(rel=2)@3 0.0
" +GAT" 489204 R(rel=2)@1000 0.4583333333333333
" +GAT" 489204 nDCG@10 0.32844912258890147
" +GAT" 490595 AP(rel=2) 0.4203028622587554
" +GAT" 490595 RR(rel=2) 0.3333333333333333
" +GAT" 490595 P(rel=2)@3 0.3333333333333333
" +GAT" 490595 R(rel=2)@1000 1.0
" +GAT" 490595 nDCG@10 0.49796940875876256
" +GAT" 527433 AP(rel=2) 0.13293738174002623
" +GAT" 527433 RR(rel=2) 1.0
" +GAT" 527433 P(rel=2)@3 0.3333333333333333
" +GAT" 527433 R(rel=2)@1000 0.47058823529411764
" +GAT" 527433 nDCG@10 0.4625623185969802
" +GAT" 573724 AP(rel=2) 0.3448106256130877
" +GAT" 573724 RR(rel=2) 0.2
" +GAT" 573724 P(rel=2)@3 0.0
" +GAT" 573724 R(rel=2)@1000 1.0
" +GAT" 573724 nDCG@10 0.5214788732868209
" +GAT" 833860 AP(rel=2) 0.5034772923280662
" +GAT" 833860 RR(rel=2) 1.0
" +GAT" 833860 P(rel=2)@3 1.0
" +GAT" 833860 R(rel=2)@1000 0.5952380952380952
" +GAT" 833860 nDCG@10 0.9471643200863394
" +GAT" 855410 AP(rel=2) 1.0
" +GAT" 855410 RR(rel=2) 1.0
" +GAT" 855410 P(rel=2)@3 1.0
" +GAT" 855410 R(rel=2)@1000 1.0
" +GAT" 855410 nDCG@10 1.0
" +GAT" 87181 AP(rel=2) 0.38805125228903203
" +GAT" 87181 RR(rel=2) 0.5
" +GAT" 87181 P(rel=2)@3 0.6666666666666666
" +GAT" 87181 R(rel=2)@1000 1.0
" +GAT" 87181 nDCG@10 0.7137702720633105
" +GAT" 87452 AP(rel=2) 0.10151565818667
" +GAT" 87452 RR(rel=2) 0.25
" +GAT" 87452 P(rel=2)@3 0.0
" +GAT" 87452 R(rel=2)@1000 0.45161290322580644
" +GAT" 87452 nDCG@10 0.4424058032332244
" +GAT" 915593 AP(rel=2) 0.37734542676533295
" +GAT" 915593 RR(rel=2) 1.0
" +GAT" 915593 P(rel=2)@3 1.0
" +GAT" 915593 R(rel=2)@1000 1.0
" +GAT" 915593 nDCG@10 0.796393850675055
" +GAT" 962179 AP(rel=2) 0.5498711337076304
" +GAT" 962179 RR(rel=2) 1.0
" +GAT" 962179 P(rel=2)@3 0.3333333333333333
" +GAT" 962179 R(rel=2)@1000 1.0
" +GAT" 962179 nDCG@10 0.7510916729774053
" +GCN" 1037798 AP(rel=2) 0.1445186406595118
" +GCN" 1037798 RR(rel=2) 0.5
" +GCN" 1037798 P(rel=2)@3 0.3333333333333333
" +GCN" 1037798 R(rel=2)@1000 1.0
" +GCN" 1037798 nDCG@10 0.2717450127371505
" +GCN" 104861 AP(rel=2) 0.7589152518586038
" +GCN" 104861 RR(rel=2) 1.0
" +GCN" 104861 P(rel=2)@3 1.0
" +GCN" 104861 R(rel=2)@1000 0.8558558558558559
" +GCN" 104861 nDCG@10 1.0
" +GCN" 1063750 AP(rel=2) 0.01639344262295082
" +GCN" 1063750 RR(rel=2) 1.0
" +GCN" 1063750 P(rel=2)@3 1.0
" +GCN" 1063750 R(rel=2)@1000 0.01639344262295082
" +GCN" 1063750 nDCG@10 0.3799109563336586
" +GCN" 1103812 AP(rel=2) 0.4878091184277103
" +GCN" 1103812 RR(rel=2) 1.0
" +GCN" 1103812 P(rel=2)@3 1.0
" +GCN" 1103812 R(rel=2)@1000 0.9090909090909091
" +GCN" 1103812 nDCG@10 0.7460413175256216
" +GCN" 1106007 AP(rel=2) 0.3342863969201207
" +GCN" 1106007 RR(rel=2) 1.0
" +GCN" 1106007 P(rel=2)@3 1.0
" +GCN" 1106007 R(rel=2)@1000 0.5609756097560976
" +GCN" 1106007 nDCG@10 0.6969069747352746
" +GCN" 1110199 AP(rel=2) 0.08255294689547077
